"Employee ID","Gender","Job Level after FY20 promotions","New hire FY20?","FY20 Performance Rating","Promotion in FY21?","In base group for Promotion FY21","Target hire balance","FY20 leaver?","In base group for turnover FY20","Department @01.07.2020","Leaver FY","Job Level after FY21 promotions","Last Department in FY20","FTE group","Time type","Department & JL group PRA status","Department & JL group for PRA","Job Level group PRA status","Job Level group for PRA","Time in Job Level @01.07.2020","Job Level before FY20 promotions","Promotion in FY20?","FY19 Performance Rating","Age group","Age @01.07.2020","Nationality 1","Region group: nationality 1","Broad region group: nationality 1","Last hire date","Years since last hire","Rand"
"168","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","2","20 to 29","25","France","Europe","Europe","4/1/2011","9","0.7249766"
"169","Female","5 - Senior Officer","N","1","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","3","30 to 39","32","France","Europe","Europe","4/1/2018","2","0.9102505"
"170","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","3","4 - Manager","N","2","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.3562195"
"171","Female","4 - Manager","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","80%","Part Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","2","4 - Manager","N","2","40 to 49","41","Italy","Europe","Europe","4/1/2011","9","0.5383992"
"172","Male","3 - Senior Manager","N","3","No","Yes","0.50","No","Y","HR","","3 - Senior Manager","HR","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & HR","Age @01.07.2020","3 - Senior Manager","3","3 - Senior Manager","N","2","30 to 39","36","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.9253105"
"173","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","40%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","1","30 to 39","30","Italy","Europe","Europe","4/1/2013","7","0.2668416"
"174","Male","2 - Director","N","2","No","Yes","0.50","No","Y","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","3","2 - Director","N","2","40 to 49","44","France","Europe","Europe","4/1/2011","9","0.4363037"
"175","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Finance","","4 - Manager","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Finance","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","1","30 to 39","36","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.8325955"
"176","Female","3 - Senior Manager","N","2","Yes","Yes","0.50","No","Y","Internal Services","","2 - Director","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Internal Services","Age @01.07.2020","3 - Senior Manager","4","3 - Senior Manager","N","2","40 to 49","46","France","Europe","Europe","4/1/2016","4","0.1469905"
"177","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","30","Spain","Europe","Europe","4/1/2015","5","0.4564191"
"178","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","5 - Senior Officer","Internal Services","90%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","4","30 to 39","34","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.1672198"
"179","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","4","5 - Senior Officer","N","3","30 to 39","33","Germany","Europe","Europe","4/1/2015","5","0.1894107"
"180","Male","3 - Senior Manager","N","2","No","No","0.50","Yes","Y","HR","FY20","","HR","Full Time","Full Time","","","","","2","3 - Senior Manager","N","3","30 to 39","34","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.8371782"
"181","Female","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","2","20 to 29","29","Italy","Europe","Europe","4/1/2012","8","0.1104649"
"182","Female","6 - Junior Officer","N","3","No","No","0.50","Yes","Y","Internal Services","FY20","","Internal Services","Full Time","Full Time","","","","","2","6 - Junior Officer","N","3","40 to 49","44","Germany","Europe","Europe","4/1/2018","2","0.4099878"
"183","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","60%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","","20 to 29","28","United States","Americas","Elsewhere","4/1/2017","3","0.8164562"
"184","Male","6 - Junior Officer","Y","","No","No","0.50","No","N","Internal Services","","6 - Junior Officer","Internal Services","80%","Part Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.1153073"
"185","Male","6 - Junior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","25","Germany","Europe","Europe","4/1/2020","0","0.5737898"
"186","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","28","Germany","Europe","Europe","4/1/2018","2","0.6286169"
"187","Male","5 - Senior Officer","N","1","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","","30 to 39","30","China","Asia Pacific","Elsewhere","4/1/2017","3","0.5896196"
"188","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","4","5 - Senior Officer","N","3","20 to 29","29","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.3718446"
"189","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","26","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.7022705"
"190","Female","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","30 to 39","33","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.2097871"
"191","Male","5 - Senior Officer","N","3","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","3","5 - Senior Officer","N","3","60 to 69","62","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.952111"
"192","Male","2 - Director","Y","","No","No","0.50","No","N","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","0","","N","","30 to 39","39","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.5921463"
"193","Male","4 - Manager","N","3","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","9","4 - Manager","N","3","20 to 29","25","France","Europe","Europe","4/1/2011","9","0.38363"
"194","Female","6 - Junior Officer","Y","","No","No","0.50","No","N","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.2019399"
"195","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Operations","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","2","30 to 39","30","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.5100771"
"196","Male","3 - Senior Manager","Y","","No","No","0.50","No","N","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","0","","N","","40 to 49","40","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.1661158"
"197","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Finance","","6 - Junior Officer","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Finance","Age @01.07.2020","6 - Junior Officer","5","6 - Junior Officer","N","2","20 to 29","23","France","Europe","Europe","4/1/2015","5","0.6261805"
"198","Female","6 - Junior Officer","N","2","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","1","6 - Junior Officer","N","","40 to 49","41","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.3921723"
"199","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.7758271"
"200","Male","5 - Senior Officer","N","3","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","4","5 - Senior Officer","N","3","40 to 49","41","Italy","Europe","Europe","4/1/2011","9","0.1597661"
"201","Female","5 - Senior Officer","Y","","No","No","0.50","No","N","HR","","5 - Senior Officer","HR","60%","Part Time","Time in Job Level @01.07.2020","5 - Senior Officer & HR","Age @01.07.2020","5 - Senior Officer","0","","N","","30 to 39","33","France","Europe","Europe","4/1/2020","0","0.5707397"
"202","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Internal Services","Age @01.07.2020","4 - Manager","3","4 - Manager","N","2","30 to 39","34","United States","Americas","Elsewhere","4/1/2012","8","0.675787"
"203","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","26","Germany","Europe","Europe","4/1/2019","1","0.0813511"
"204","Male","6 - Junior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.9648737"
"205","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","3","3 - Senior Manager","N","3","40 to 49","40","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.1721064"
"206","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Finance","","4 - Manager","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Finance","Age @01.07.2020","4 - Manager","1","#REF!","Y","1","30 to 39","36","United Kingdom","Europe","Europe","4/1/2015","5","0.2747871"
"207","Male","2 - Director","Y","","No","No","0.50","No","N","Internal Services","","2 - Director","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Internal Services","Uneven - Men benefit","2 - Director","0","","N","","30 to 39","38","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.9047328"
"208","Female","6 - Junior Officer","N","1","No","Yes","0.50","No","Y","Internal Services","","6 - Junior Officer","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Internal Services","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.7655439"
"209","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","20 to 29","28","Germany","Europe","Europe","4/1/2017","3","0.7889463"
"210","Female","4 - Manager","N","","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","3","4 - Manager","N","2","50 to 59","51","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.686775"
"211","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","21","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.5519517"
"212","Male","5 - Senior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","0","","N","","20 to 29","27","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.4471112"
"213","Female","2 - Director","N","4","No","Yes","0.50","No","Y","HR","","2 - Director","HR","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & HR","Uneven - Men benefit","2 - Director","3","2 - Director","N","2","40 to 49","44","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.0244273"
"214","Female","6 - Junior Officer","Y","","No","No","0.50","No","N","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","28","France","Europe","Europe","4/1/2020","0","0.0340487"
"215","Male","4 - Manager","N","1","Yes","Yes","0.50","No","Y","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","3","4 - Manager","N","3","30 to 39","37","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.0430945"
"216","Female","5 - Senior Officer","N","","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","3","5 - Senior Officer","N","2","40 to 49","44","France","Europe","Europe","4/1/2011","9","0.6362283"
"217","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.1363046"
"218","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","3","5 - Senior Officer","N","3","20 to 29","29","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.5610934"
"219","Female","3 - Senior Manager","Y","","No","No","0.50","No","N","Operations","","3 - Senior Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Operations","Age @01.07.2020","3 - Senior Manager","0","","N","","30 to 39","36","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.2370601"
"220","Male","5 - Senior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","4","5 - Senior Officer","N","3","20 to 29","29","Germany","Europe","Europe","4/1/2011","9","0.3203368"
"221","Female","5 - Senior Officer","Y","","No","No","0.50","No","N","Strategy","","5 - Senior Officer","Strategy","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Strategy","Age @01.07.2020","5 - Senior Officer","0","","N","","20 to 29","28","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.5234803"
"222","Male","2 - Director","N","3","Yes","Yes","0.50","No","Y","Sales & Marketing","","1 - Executive","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Sales & Marketing","Uneven - Men benefit","2 - Director","6","2 - Director","N","3","30 to 39","39","Switzerland","Switzerland","Switzerland","4/1/2012","8","0.9425491"
"223","Female","5 - Senior Officer","N","","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","5","5 - Senior Officer","N","3","20 to 29","29","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.1221269"
"224","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Internal Services","","3 - Senior Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Internal Services","Age @01.07.2020","3 - Senior Manager","2","3 - Senior Manager","N","3","40 to 49","46","Germany","Europe","Europe","4/1/2011","9","0.4206243"
"225","Male","5 - Senior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Sales & Marketing","Age @01.07.2020","5 - Senior Officer","1","#REF!","Y","1","20 to 29","25","Romania","Europe","Europe","4/1/2014","6","0.0647044"
"226","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","2","20 to 29","21","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.3075083"
"227","Male","4 - Manager","N","3","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","3","4 - Manager","N","2","40 to 49","43","Switzerland","Switzerland","Switzerland","4/1/2011","9","0.0979322"
"228","Male","5 - Senior Officer","N","2","Yes","Yes","0.50","No","Y","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","5 - Senior Officer & Internal Services","Age @01.07.2020","5 - Senior Officer","2","5 - Senior Officer","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.5646945"
"229","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Internal Services","","3 - Senior Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Internal Services","Age @01.07.2020","3 - Senior Manager","3","3 - Senior Manager","N","2","30 to 39","35","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.8289315"
"230","Female","6 - Junior Officer","N","2","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","2","6 - Junior Officer","N","3","40 to 49","42","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.9622597"
"231","Male","3 - Senior Manager","N","3","No","Yes","0.50","No","Y","Finance","","3 - Senior Manager","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Finance","Age @01.07.2020","3 - Senior Manager","3","3 - Senior Manager","N","3","30 to 39","39","France","Europe","Europe","4/1/2016","4","0.2174362"
"232","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","30 to 39","34","Spain","Europe","Europe","4/1/2017","3","0.51136"
"233","Female","6 - Junior Officer","Y","","No","No","0.50","No","N","Strategy","","6 - Junior Officer","Strategy","80%","Part Time","Time in Job Level @01.07.2020","6 - Junior Officer & Strategy","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2020","0","0.7672592"
"234","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","2","20 to 29","29","Germany","Europe","Europe","4/1/2018","2","0.9079425"
"235","Male","4 - Manager","N","3","No","Yes","0.50","No","Y","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Internal Services","Age @01.07.2020","4 - Manager","2","4 - Manager","N","3","30 to 39","32","Switzerland","Switzerland","Switzerland","4/1/2014","6","0.4227972"
"236","Female","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Sales & Marketing","","6 - Junior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.4080209"
"237","Female","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Operations","","5 - Senior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","4","6 - Junior Officer","N","3","30 to 39","31","Switzerland","Switzerland","Switzerland","4/1/2016","4","0.1508692"
"238","Female","6 - Junior Officer","Y","","No","No","0.50","No","N","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","0","","N","","20 to 29","22","France","Europe","Europe","4/1/2020","0","0.8522025"
"239","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","4 - Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Sales & Marketing","Age @01.07.2020","4 - Manager","2","4 - Manager","N","2","30 to 39","36","Italy","Europe","Europe","4/1/2014","6","0.59203"
"240","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","4","6 - Junior Officer","N","3","20 to 29","27","Italy","Europe","Europe","4/1/2016","4","0.8198139"
"241","Female","4 - Manager","N","2","No","Yes","0.50","No","Y","Internal Services","","4 - Manager","Internal Services","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Internal Services","Age @01.07.2020","4 - Manager","2","4 - Manager","N","2","30 to 39","38","Germany","Europe","Europe","4/1/2018","2","0.2069785"
"242","Male","5 - Senior Officer","N","3","No","No","0.50","Yes","Y","Internal Services","FY20","","Internal Services","Full Time","Full Time","","","","","3","5 - Senior Officer","N","3","30 to 39","37","France","Europe","Europe","4/1/2017","3","0.3177969"
"243","Male","2 - Director","N","3","No","Yes","0.50","No","Y","Operations","","2 - Director","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","2 - Director & Operations","Uneven - Men benefit","2 - Director","1","#REF!","Y","2","40 to 49","42","Switzerland","Switzerland","Switzerland","4/1/2013","7","0.7851494"
"244","Male","3 - Senior Manager","N","2","No","Yes","0.50","No","Y","Sales & Marketing","","3 - Senior Manager","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","3 - Senior Manager & Sales & Marketing","Age @01.07.2020","3 - Senior Manager","4","3 - Senior Manager","N","4","40 to 49","41","United Kingdom","Europe","Europe","4/1/2011","9","0.1249291"
"245","Female","5 - Senior Officer","N","2","No","No","0.50","Yes","Y","Operations","FY20","","Operations","70%","Part Time","","","","","5","5 - Senior Officer","N","3","40 to 49","49","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.57946"
"246","Male","6 - Junior Officer","N","3","No","No","0.50","Yes","Y","Sales & Marketing","FY20","","Sales & Marketing","Full Time","Full Time","","","","","5","6 - Junior Officer","N","3","20 to 29","25","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.1076855"
"247","Male","6 - Junior Officer","N","3","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","3","6 - Junior Officer","N","3","20 to 29","22","Switzerland","Switzerland","Switzerland","4/1/2017","3","0.6585978"
"248","Male","4 - Manager","N","2","No","Yes","0.50","No","Y","Operations","","4 - Manager","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","4 - Manager & Operations","Age @01.07.2020","4 - Manager","1","#REF!","Y","1","30 to 39","30","Spain","Europe","Europe","4/1/2012","8","0.8154534"
"249","Male","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","21","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.4949813"
"250","Male","6 - Junior Officer","N","2","No","No","0.50","Yes","Y","Operations","FY20","","Operations","Full Time","Full Time","","","","","5","6 - Junior Officer","N","2","20 to 29","24","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.2721327"
"251","Male","6 - Junior Officer","N","2","Yes","Yes","0.50","No","Y","Sales & Marketing","","5 - Senior Officer","Sales & Marketing","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Sales & Marketing","Age @01.07.2020","6 - Junior Officer","1","6 - Junior Officer","N","","20 to 29","29","Switzerland","Switzerland","Switzerland","4/1/2019","1","0.267574"
"252","Female","6 - Junior Officer","N","2","No","Yes","0.50","No","Y","Operations","","6 - Junior Officer","Operations","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Operations","Age @01.07.2020","6 - Junior Officer","2","6 - Junior Officer","N","3","20 to 29","27","Switzerland","Switzerland","Switzerland","4/1/2018","2","0.698273"
"253","Male","6 - Junior Officer","N","4","No","Yes","0.50","No","Y","Finance","","6 - Junior Officer","Finance","Full Time","Full Time","Time in Job Level @01.07.2020","6 - Junior Officer & Finance","Age @01.07.2020","6 - Junior Officer","5","6 - Junior Officer","N","2","20 to 29","26","Switzerland","Switzerland","Switzerland","4/1/2015","5","0.680187"
